,median_income,zip_code
0,100377,60606
1,77374,60601
2,69889,60611
3,68324,60614
4,61815,60603
5,59849,60655
6,58232,60646
7,56151,60605
8,55647,60657
9,55316,60631
10,54698,60661
11,53120,60652
12,51305,60643
13,51294,60610
14,50042,60634
15,48381,60613
16,47905,60630
17,47512,60656
18,45173,60638
19,45064,60659
20,42182,60641
21,41438,60645
22,41355,60618
23,40972,60607
24,40792,60633
25,40279,60629
26,40165,60639
27,40083,60625
28,38487,60622
29,38210,60628
30,37406,60632
31,36334,60620
32,35534,60617
33,35283,60647
34,34293,60660
35,33631,60619
36,32622,60651
37,32466,60640
38,31571,60615
39,31318,60626
40,31250,60604
41,30625,60616
42,28203,60623
43,28026,60608
44,27727,60636
45,27699,60649
46,26930,60644
47,25705,60609
48,25143,60612
49,23750,60602
50,23228,60637
51,22426,60624
52,19718,60621
53,14205,60653
54,0,60654
